CC	8.2656
CN	-6.0844
CO	-7.9212
CF	2.3534
CCl	3.8458
C=C	5.166
C=O	-3.9032
C#C	-0.1722
CCC	12.5706
CCN	-1.148
CCO	-2.296
CCF	5.7974
CCCl	8.4378
FCF	1.6646
FCCl	3.5588
ClCF	3.5588
ClCCl	6.4288
CNC	-3.0422
COC	-0.9184
CC=C	9.6432
CC=O	-0.0574
CC#N	-0.2296
NC=N	-8.036
NC=O	-8.7822
OC=O	-2.6978
FC=C	5.8548
ClC=C	8.2082
NN=C	-1.8368
ON=C	-1.7794
CC#C	5.2808
CC(C)C	12.3984
CC(C)N	-0.287
CC(C)O	0.2296
CC(C)F	6.1992
CC(C)Cl	8.5526
CC(F)F	4.5346
CC(F)Cl	7.2898
CC(Cl)F	7.2898
CC(Cl)Cl	9.8728
FC(F)F	5.5678
FC(F)Cl	5.6252
FC(Cl)F	5.6252
FC(Cl)Cl	7.3472
ClC(F)F	5.6252
ClC(F)Cl	7.3472
ClC(Cl)F	7.3472
ClC(Cl)Cl	9.5858
CN(C)C	-0.8036
CC(C)=C	10.7338
CC(C)=O	-1.6646
CC(N)=N	-5.74
CC(N)=O	-6.314
CC(O)=O	-0.6888
CC(F)=C	7.4046
CC(Cl)=C	10.7912
NC(N)=N	-11.0208
NC(N)=O	-10.2172
OC(O)=O	3.444
FC(F)=C	8.9544
FC(Cl)=C	9.2988
ClC(F)=C	9.2988
ClC(Cl)=C	11.3078
CCCC	16.1294
CCCN	1.7794
CCCO	1.2054
CCCF	9.5858
CCCCl	11.9966
NCCN	-10.1598
NCCO	-8.7822
NCCF	-5.453
NCCCl	-2.7552
OCCO	-8.7822
OCCF	-3.6736
OCCCl	0
FCCF	1.148
FCCCl	4.592
ClCCF	4.592
ClCCCl	8.4952
CCNC	0.7462
CCOC	3.3866
CCC=C	12.6854
CCC=O	1.7794
CCC#N	-0.0574
NCC=C	-2.4682
OCC=C	-0.1722
OCC=O	-5.6826
OCC#N	-6.8306
FCC=C	5.3382
ClCC=C	10.2746
FCC=O	-3.0996
ClCC=O	1.0332
FCC#N	0.5166
ClCC#N	-0.2296
CNC=N	-7.8064
CNC=O	-7.5194
NNC=N	-10.8486
NNC=O	-10.1024
ONC=N	-10.1024
ONC=O	-11.0208
CNN=C	-3.3292
COC=C	2.8126
COC=O	-1.7794
CON=C	-0.6314
